,name,value,id,size,genres
45,Lithuania,89,LTU,89,"[{'title': 'Rock', 'value': 3.0}, {'title': 'Pop', 'value': 3.0}, {'title': 'Electronica', 'value': 2.0}, {'title': 'Death Metal', 'value': 1.0}, {'title': 'Gothic Rock', 'value': 1.0}, {'title': 'Art Rock', 'value': 1.0}, {'title': 'Sung Poetry', 'value': 1.0}, {'title': 'Electronic', 'value': 1.0}, {'title': 'Deep House', 'value': 1.0}, {'title': 'Nu Metal', 'value': 0.0}]"
46,Iceland,84,ISL,84,"[{'title': 'Indie Folk', 'value': 2.0}, {'title': 'Pop', 'value': 2.0}, {'title': 'Folk', 'value': 1.0}, {'title': 'Alternative Rock', 'value': 1.0}, {'title': 'Ballad', 'value': 1.0}, {'title': 'Reggae', 'value': 1.0}, {'title': 'Electronica', 'value': 1.0}, {'title': 'Dream Pop', 'value': 1.0}, {'title': 'Ambient', 'value': 1.0}, {'title': 'Anarcho-Punk', 'value': 1.0}]"
47,Croatia,76,HRV,76,"[{'title': 'Pop', 'value': 2.0}, {'title': 'Singer-Songwriter', 'value': 2.0}, {'title': 'Italo Disco', 'value': 1.0}, {'title': 'Rock', 'value': 1.0}, {'title': 'World Music', 'value': 1.0}, {'title': 'Technical Death Metal', 'value': 1.0}, {'title': 'Death Metal', 'value': 1.0}, {'title': 'Pop Punk', 'value': 1.0}, {'title': 'Noise Pop', 'value': 0.0}, {'title': 'Nintendocore', 'value': 0.0}]"
48,Northern Ireland,75,GBR,75,"[{'title': 'Pop', 'value': 3.0}, {'title': 'Blues', 'value': 3.0}, {'title': 'Indie Pop', 'value': 2.0}, {'title': 'Alternative Rock', 'value': 2.0}, {'title': 'Acoustic', 'value': 2.0}, {'title': 'Heavy Metal', 'value': 1.0}, {'title': 'Christian', 'value': 1.0}, {'title': 'Rock', 'value': 1.0}, {'title': 'Alternative Metal', 'value': 1.0}, {'title': 'Christian Rock', 'value': 1.0}]"
49,Venezuela,74,VEN,74,"[{'title': 'Black Metal', 'value': 1.0}, {'title': 'Ballad', 'value': 1.0}, {'title': 'Progressive Metal', 'value': 1.0}, {'title': 'Nu Metal', 'value': 1.0}, {'title': 'Salsa', 'value': 1.0}, {'title': 'Rock', 'value': 1.0}, {'title': 'Nintendocore', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}]"
50,Ukraine,66,UKR,66,"[{'title': 'Rock', 'value': 2.0}, {'title': 'Black Metal', 'value': 2.0}, {'title': 'Gothic Metal', 'value': 1.0}, {'title': 'Eurodance', 'value': 1.0}, {'title': 'Metalcore', 'value': 1.0}, {'title': 'Electronic', 'value': 1.0}, {'title': 'Noha', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}]"
51,Estonia,65,EST,65,"[{'title': 'Pop', 'value': 4.0}, {'title': 'Indie Rock', 'value': 1.0}, {'title': 'Pop Rock', 'value': 1.0}, {'title': 'Folk Rock', 'value': 1.0}, {'title': 'Alternative Rock', 'value': 1.0}, {'title': 'Folk', 'value': 1.0}, {'title': 'Death Metal', 'value': 1.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}]"
52,Slovakia,62,SVK,62,"[{'title': 'Pop', 'value': 1.0}, {'title': 'Progressive Metal', 'value': 1.0}, {'title': 'Chanson', 'value': 1.0}, {'title': '2-tone', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
53,Cuba,61,CUB,61,"[{'title': 'Latin', 'value': 3.0}, {'title': 'Pop', 'value': 3.0}, {'title': 'Trova', 'value': 2.0}, {'title': 'Latin Pop', 'value': 2.0}, {'title': 'Hip Hop', 'value': 1.0}, {'title': 'Son Cubano\u200e', 'value': 1.0}, {'title': 'Blues', 'value': 1.0}, {'title': 'Jazz', 'value': 1.0}, {'title': 'Noise Rock', 'value': 0.0}, {'title': 'Noise Pop', 'value': 0.0}]"
54,Malaysia,56,MYS,56,"[{'title': 'Hard Rock', 'value': 2.0}, {'title': 'Pop', 'value': 2.0}, {'title': 'Alternative Rock', 'value': 1.0}, {'title': 'Worship', 'value': 1.0}, {'title': 'Punk Rock', 'value': 1.0}, {'title': 'Noise Pop', 'value': 0.0}, {'title': 'Nintendocore', 'value': 0.0}, {'title': 'Noha', 'value': 0.0}, {'title': 'Noise', 'value': 0.0}, {'title': 'Norteño', 'value': 0.0}]"
